name,latitude,longitude,population,color
Addison Road,0,0,0,#547E93
Anacostia,0,0,0,#A18584
Archives-Navy Memorial,0,0,0,#EB0F81
Arlington Cemetery,0,0,0,#A97AC9
Ballston,0,0,0,#611E4D
Benning Road,0,0,0,#4EFD99
Bethesda,0,0,0,#7EA853
Braddock Road,0,0,0,#6D52CD
Branch Avenue,0,0,0,#4F45BF
Brookland,0,0,0,#74D018
Capitol Heights,0,0,0,#6B1CD1
Capitol South,0,0,0,#3900D3
Cheverly,0,0,0,#97612C
Clarendon,0,0,0,#3C7423
Cleveland Park,0,0,0,#10D727
College Park-U of MD,0,0,0,#ABB25A
Columbia Heights,0,0,0,#B09908
Congress Heights,0,0,0,#E6C73D
Court House,0,0,0,#BB403F
Crystal City,0,0,0,#D49864
Deanwood,0,0,0,#7995AF
Dunn Loring,0,0,0,#60D1F7
Dupont Circle,0,0,0,#C87246
East Falls Church,0,0,0,#CC272F
Eastern Market,0,0,0,#CFBE53
Eisenhower Avenue,0,0,0,#578F89
Farragut North,0,0,0,#867D65
Farragut West,0,0,0,#E85972
Federal Center SW,0,0,0,#5922E7
Federal Triangle,0,0,0,#9ADC54
Foggy Bottom,0,0,0,#3CDE28
Forest Glen,0,0,0,#AA04BC
Fort Totten,0,0,0,#848F2B
Franconia-Springfield,0,0,0,#47F41E
Friendship Heights,0,0,0,#5776DF
Gallery Place-Chinatown,0,0,0,#203A92
Georgia Avenue-Petworth,0,0,0,#353429
Glenmont,0,0,0,#F4F4EE
Greenbelt,0,0,0,#E1CCFC
Grosvenor,0,0,0,#39C976
Huntington,0,0,0,#CBC535
Judiciary Square,0,0,0,#400CD2
King Street,0,0,0,#89163C
Landover,0,0,0,#CAE14D
Largo Town Center,0,0,0,#EA3E55
L'Enfant Plaza,0,0,0,#5F8D2A
McPherson Square,0,0,0,#D4BE7D
Medical Center,0,0,0,#4109D7
Metro Center,0,0,0,#54DCE0
Minnesota Avenue,0,0,0,#551A47
Morgan Blvd.,0,0,0,#A6DC1B
Mt. Vernon Square-UDC,0,0,0,#B97432
Navy Yard,0,0,0,#995323
Naylor Road,0,0,0,#D93F1F
New Carrollton,0,0,0,#E95CAA
New York Ave,0,0,0,#2F4961
Pentagon,0,0,0,#34C35B
Pentagon City,0,0,0,#35BA32
Potomac Avenue,0,0,0,#3016AA
Prince George's Plaza,0,0,0,#8293F5
Reagan Washington National Airport,0,0,0,#506732
Rhode Island Avenue,0,0,0,#379D56
Rockville,0,0,0,#939A5D
Rosslyn,0,0,0,#41D9E3
Shady Grove,0,0,0,#1FD434
Shaw-Howard University,0,0,0,#320B0
Silver Spring,0,0,0,#3D847
Smithsonian,0,0,0,#B051A9
Southern Avenue,0,0,0,#308613
Stadium-Armory,0,0,0,#6F289B
Suitland,0,0,0,#7C7247
Takoma,0,0,0,#FA8D66
Tenleytown-AU,0,0,0,#24BFBD
Twinbrook,0,0,0,#E4D2D2
U Street-Cardozo,0,0,0,#64693F
Union Station,0,0,0,#D8A762
Van Dorn Street,0,0,0,#9D106F
Van Ness-UDC,0,0,0,#2CE018
Vienna,0,0,0,#B560F3
Virginia Square-GMU,0,0,0,#C1C62A
Waterfront,0,0,0,#27F7FD
West Falls Church,0,0,0,#29DE3E
West Hyattsville,0,0,0,#2BB78C
Wheaton,0,0,0,#47DC65
White Flint,0,0,0,#2EAE07
Woodley Park-Zoo,0,0,0,#700417
